city,bathrooms,bedrooms,balconies,postedOn,furnishing,facing,flrNum,totalFlrNum,RentOrSale,locality,carpetArea,carpetAreaUnit,Lat,Long,noOfLifts,rentPrice,securityDeposit,maintenanceCharges,maintenanceChargesFrequency,firstMonthCharges,brokerage,exactPrice,sqftPrice,Bank & ATM,Golf Course,Early Learning Centre,Kids Play Area,Security,Meditation Area,Park,Multipurpose Courts,Intercom Facility,Rain Water Harvesting,AEROBICS ROOM,DTH Television Facility,Banquet Hall,Piped Gas,Earth quake resistant,Private Garden,Skydeck,Internet/Wi-Fi Connectivity,Cafeteria/Food Court,Grand Entrance lobby,Event Space & Amphitheatre,Conference Room,Recreational Pool,Visitor Parking,Guest Accommodation,Kids Play Pool With Water Slides,Concierge Services,Mini Cinema Theatre,Indoor Games Room,Outdoor Tennis Courts,Flower Gardens,Vaastu Compliant,Health club with Steam / Jaccuzi,CCTV Camera,Cricket net practice,Bar/Lounge,Club House,Air Conditioned,Canopy Walk,Fire Fighting Equipment,Private Terrace/Garden,Cycling & Jogging Track,RO Water System,Activity Deck4,Power Back Up,Reserved Parking,Barbeque Pit,Dance Studio,Kids Club,Service/Goods Lift,Retail Boulevard (Retail Shops),Waste Disposal,Lift,Library,Laundry Service,Rentable Community Space,Indoor Squash & Badminton Courts,Maintenance Staff,Jogging and Strolling Track,Library And Business Centre,Water Storage,Multipurpose Hall,Coffee Lounge & Restaurants,Gymnasium,Swimming Pool,Arts & Craft Studio
Gandhinagar,2,2,2,"Jun 02, '23",Unfurnished,North - East,4,5,Rent,Sargasan,78,Sq-ft,23.197353,72.604664,9,"14,000","14,000","1,000",Monthly,"43,000",30 days,14000,12.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gandhinagar,2,2,2,"Jun 27, '23",Furnished,East,2,5,Rent,Infocity,140,Sq-yrd,23.1940975189209,72.62975311279297,9,"18,000","36,000","1,500",Monthly,"55,500",9,18000,12.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,2,"Jun 15, '23",Furnished,North - East,2,8,Rent,Sargasan,90,Sq-yrd,23.1848805,72.615856,9,"19,000","38,000","1,200",Monthly,"77,200",30 days,19000,16.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,3,3,1,"Jun 28, '23",Unfurnished,North - East,1,4,Rent,Sargasan,1860,Sq-ft,23.18488121032715,72.61585235595703,1,"29,000","68,000","1,000",Monthly,"1,27,000",30 days,29000,16.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,3,3,1,"May 03, '23",Semi-Furnished,North - West,7,9,Rent,Sargasan,9,9,23.187518,72.620202,2,"23,000","46,000","2,000",Monthly,"94,000",30 days,23000,10.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,1,"May 21, '23",Unfurnished,East,3,5,Rent,Kudasan,88,Sq-yrd,23.1792,72.63241,1,"14,500","14,500",250,Monthly,"43,750",30 days,14500,11.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,1,"May 12, '23",Unfurnished,9,5,5,Rent,Sargasan,85,Sq-yrd,23.192782097925,72.6069812274358,9,,"14,000",9,9,"40,000",30 days,13000,12.0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1
Gandhinagar,2,2,1,"Jun 15, '23",Unfurnished,West,3,3,Rent,Vavol,9,9,23.224895477294922,72.61955261230469,9,"15,000","15,000","1,000",Monthly,"46,000",30 days,15000,9.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,3,3,1,"Jun 21, '23",Unfurnished,East,5,8,Rent,Kudasan,146,Sq-yrd,23.1698784,72.6232479,9,"25,000","25,000","2,000",Monthly,"52,000",9,25000,11.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
Gandhinagar,2,2,1,"Jun 28, '23",Semi-Furnished,East,3,6,Rent,GIFT City,818,Sq-ft,23.183778,72.650238,1,,"44,000",9,9,"88,000",30 days,22000,15.0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
Gandhinagar,3,3,2,"Jun 25, '23",Furnished,East,1,5,Rent,Sargasan,195,Sq-yrd,23.1848805,72.615856,1,"29,500","58,000","2,000",Monthly,"1,19,000",30 days,29500,15.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,3,3,2,"Jun 20, '23",Unfurnished,North - West,3,5,Rent,Kudasan,132,Sq-yrd,23.1698784,72.6232479,1,"21,000","42,000","1,000",Yearly,"85,000",30 days,21000,11.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,3,3,3,"Jun 25, '23",Semi-Furnished,East,2,7,Rent,Kudasan,190,Sq-yrd,23.1698784,72.6232479,9,,"36,000",9,9,"72,000",30 days,18000,9.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,1,"Jun 28, '23",Unfurnished,East,1,5,Rent,Sargasan,93,Sq-yrd,23.1848805,72.615856,1,"13,000","13,000","1,500",Monthly,"40,500",30 days,13000,11.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,2,"Jun 27, '23",Semi-Furnished,East,5,9,Rent,Sargasan,125,Sq-yrd,23.187518,72.620202,2,"18,000","18,000","2,000",Monthly,"56,000",30 days,18000,12.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gandhinagar,2,2,2,"Jun 16, '23",Furnished,North - East,4,7,Rent,Sargasan,120,Sq-yrd,23.1848805,72.615856,9,"22,000","44,000","1,000",Monthly,"89,000",30 days,22000,18.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Patna,2,2,2,"Jun 17, '23",Unfurnished,9,5,6,Rent,New Patliputra Colony,1250,Sq-ft,25.626138,85.106388,9,"16,000","32,000","2,000",Monthly,"50,000",9,16000,12.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Patna,3,3,9,"Jun 14, '23",Unfurnished,9,4,5,Rent,Kankarbagh,9,9,25.593441009521484,85.18486785888672,9,9,9,9,9,9,9,10000,11.0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
